字,音,康熙笔画,字典笔画,笔画差,五行,音调,字意,候选
一,,1,1,0,土,,克父伤母，性刚果断，少年千难，中年劳、晚年吉祥之字。,1
乙,,1,1,0,土,,幼年多灾，中年成功，离祖大吉，出外遇贵人，环境良好之字。,1
二,,2,2,0,火,,忌车怕水，多灾厄，或身弱多病，中年奔波，晚年幸福之字。,1
七,,2,2,0,金,,忧心劳神或困苦，一生刑偶伤子，病弱短寿，晚年享福之字。,1
八,,2,2,0,水,,多才巧智，清雅荣贵，成功隆昌，首领之格，老运倍加昌盛。,2
人,,2,2,0,金,,英俊佳人，环境良好，温和贤淑，荣贵成功之字。,2
丁,,2,2,0,火,,忧心劳神或身弱多厄，中年劳苦，晚年吉祥之字。,1
刀,,2,2,0,金,,克妻伤子，怀才不遇，忌车怕水，多灾厄之字。,1
力,,2,2,0,火,,孤独，刑克父母，少年干难，中年成功隆昌，智勇双全之字。,1
了,,2,2,0,火,,家破人亡，困苦一生有子亦不孝，孓然一生之字。,1
又,,2,2,0,土,,性刚，奔走他乡，吉中有灾厄，晚年幸福之字。,1
九,,2,2,0,木,,福寿双全，贵人明现，出外大吉，环境良好之字，出国之格。,2
人,,2,2,0,金,,病弱短寿或多灾厄，多刑克，中年多灾，晚年吉祥之字。,1
十,,2,2,0,金,,温和贤淑，缘和四海，上下敦睦，成功隆昌之字。,2
几,,2,2,0,木,,奔波劳苦，或身弱多病，有爱情厄，中年潦倒，晚福之字。,1
卜,,2,2,0,水,,英俊人才，温和伶俐，中年成功隆昌，贵人明现，欠子之字。,2
三,,3,3,0,金,,孤独格，幼年辛苦，出外逢贵得财，中年多劳，晚年成功隆昌荣贵字格。,1
千,,3,3,0,金,,精明公正，义利分明，官运之格，成功隆昌，环境良好之字。,2
大,,3,3,0,火,,清雅荣贵，多才精明，中年成功隆昌，富贵荣华，但常人难以承受之字。,1
小,,3,3,0,金,,清秀伶俐，多才巧智，早婚不宜，一生清闲幸福之字。,2
上,,3,3,0,金,,一生清雅荣贵但不善仁和，子孙兴旺，二子吉祥之字。,1
下,,3,3,0,水,,刑偶伤子，有才能干，奔波劳苦，晚福之字。,1
广,,3,3,0,木,,智勇双全，清雅荣贵中年劳心，晚年隆昌，双妻之格，女人温和贤淑。,1
山,,3,3,0,土,,孤独格，，父母无缘故，少年千难，中年隆昌，从事技术工作大吉，欠子之字。,1
川,,3,3,0,金,,克偶伤子，双妻之格，中年隆昌，晚年忧心劳神之字。,1
士,,3,3,0,金,,身弱短命，幼年辛苦，中年隆昌，晚年劳神。,1
土,,3,3,0,土,,技术方面大吉，贵人明现，成功隆昌，环境良好之字。,2
也,,3,3,0,土,,奔波劳苦，一生多灾厄难幸福，晚年享福之字。,1
久,,3,3,0,木,,出国之格，一生清雅荣贵，中年成功隆昌，福寿之字。,2
才,,3,3,0,金,,多才巧智，清雅荣贵，成功隆昌，环境良好之字。,2
女,,3,3,0,火,,孤独性，环境良好，秀气伶俐，晚年劳神之字。,1
寸,,3,3,0,金,,品性温良，晚年大吉，环境良好，中年多厄，晚年隆昌之字。,1
己,,3,3,0,土,,一生清雅多才，刑偶伤子，中年多灾，晚年吉庆之字。,1
巳,,3,3,0,火,,长寿，中年吉祥，晚年忧心劳神或潦倒之字。,1
工,,3,3,0,木,,上下敦睦，一生平凡保守之专格，子孙兴旺吉祥之字。,2
勺,,3,3,0,火,,天生聪颖，清雅荣贵，环境良好，一生享福欠子之字。,1
戈,,3,4,-1,金,,出外逢贵得财，重义信用，中年多灾，晚年隆昌之字。,1
刃,,3,3,0,金,,忧心劳神或事劳无功，病弱短寿或牢狱之字。,1
口,,3,3,0,木,,偏爱禄美，口才伶俐，重情失败，中年辛劳，晚年吉祥之字。,1
夕,,3,3,0,金,,少年千难，出外大吉，刑偶伤子，晚年享福之字。,1
乞,,3,3,0,木,,少年千难，中年成功隆昌，双妻之格或晚年劳神之字。,1
凡,,3,3,0,水,,一生清荣贵，出外逢贵得财，子孙兴旺之字。,2
巾,,3,3,0,木,,刑克父母或刑妻伤子，晚婚大吉，中年隆昌，晚年多厄之字。,1
干,,3,3,0,木,,性刚果断，常有祸端，有牢狱之灾，不取名为吉。,1
弓,,3,3,0,木,,抱负大，志气强，有精神失常之灾，杀人被杀之字。,1
乃,,3,2,1,火,,刑偶伤子，多才巧智，清雅荣贵，中年成功，晚年劳神。,1
丸,,3,3,0,土,,出外大吉，有欠子之厄，中年成功隆昌，环境良好之字。,1
子,,3,3,0,水,,不祥之字，暗淡无光，多劳困或事劳无功之字。,1
五,,4,4,0,木,,多才巧智，天生聪颖，中年成功隆昌，安享荣贵，晚年劳神之字。,1
公,,4,4,0,木,,声名显赫，富贵增荣，一生享福之格，但常人难受之字。,1
月,,4,4,0,木,,刑偶欠子或身弱多厄，晚婚大吉。中年劳、晚年隆昌，平凡之字。,1
巴,,4,4,0,水,,幼年多灾，中年劳苦，晚年隆昌，有欠子厄，一生平凡之字。,1
日,,4,4,0,火,,刑克父母或刑偶欠子，理智充足，智勇双全，成功隆昌荣贵之之字。,1
中,,4,4,0,火,,幼年多灾，出外逢贵，精明公正，福寿兴家，晚年劳神之字。,1
心,,4,4,0,金,,孤独格，克父命，一生安稳享福，有爱情厄，子孙兴旺之字。,1
丑,,4,4,0,火,,一生清雅平凡，双妻之格，中年吉祥，晚年劳神多厄之字。,1
文,,4,4,0,水,,英俊多才，清雅荣贵，中年吉祥，隆昌，忌车怕水，女人再嫁之字。,1
斗,,4,4,0,火,,理智充足，出外大吉，中年劳，晚年成功隆昌之字。,1
内,,4,4,0,火,,温和贤淑，贵人明现，环境良好，中年成功隆昌之字。,2
屯,,4,4,0,火,,多相克，晚婚大吉，中年多灾厄，晚年吉祥，子福之字。,1
太,,4,4,0,火,,刑克父母，孤独格，清雅伶俐，中年成功，隆昌。,1
友,,4,4,0,土,,多情重义，理智充足，中年奔波劳苦，但成功隆昌之字。,1
天,,4,4,0,火,,刑克父母，刑偶欠子，双妻之格，出外大吉，晚年吉祥之字。,1
化,,4,4,0,水,,技术能成功，有才无运，多劳少乐，中年吉，晚年劳神之字。,1
予,,4,4,0,土,,爱情烦恼，一生多灾厄，中年多劳困苦，晚福之字。,1
匹,,4,4,0,水,,性刚果断，义利分明，中年吉祥，晚年劳神字。,1
夫,,4,4,0,水,,天生聪颖，英敏多才，中年奔波，一生清雅荣贵之字。,1
仁,,4,4,0,金,,理智允足，中年劳，晚年吉祥之字。,1
介,,4,4,0,木,,刑克，兄弟无缘，中年劳，晚年成功隆昌,1
午,,4,4,0,火,,食禄齐美，环境良好，中年奔波，晚年吉祥之字。,1
尹,,4,4,0,土,,一生清雅伶俐，多才多艺，智勇双全，荣幸之字。,2
氏,,4,4,0,金,,忍耐勤俭，应付自如，清雅伶俐，中年劳，晚年吉祥之字。,1
六,,4,4,0,火,,性刚果断，贵人明现，中年奔波劳苦，晚年隆昌荣幸之字。,1
于,,4,3,1,土,,一表人材，官格之命刑妻伤子，中年多劳，晚年吉祥荣贵之于。,1
允,,4,4,0,土,,六亲元缘，出外逢贵得财，天生聪颖，自力更生，白手起家之字。,2
木,,4,4,0,木,,清雅平凡，环境良好，双妻之格，中年成功隆昌幸福之。,2
元,,4,4,0,木,,环境良好，克己助人，福寿兴家，妻贤子贵，荣华之字。,1
什,,4,4,0,金,,事劳无功，忧心劳神，中年多灾，晚年劳神之字。,1
方,,4,4,0,水,,一生安稳守己，聪明伶俐，中年有灾，晚年幸福之字。,1
及,,4,3,1,木,,奔波劳苦，多灾厄。出国大吉，晚年幸福。,1
水,,4,4,0,水,,一生平凡，有才能，理智好运，或刑偶欠子，晚年隆昌之字。,1
匀,,4,4,0,木,,聪明伶俐，清雅荣贵，中年成功隆昌，晚年昌盛，二子字。,2
孔,,4,4,0,木,,忧心劳神或怀才不遇，中年劳苦晚年吉祥之字。,1
丹,,4,4,0,火,,性刚果断，父母无缘，一生平凡，中年劳，晚年吉祥之字。,1
令,,4,5,-1,火,,一生清雅荣贵，中年成功隆昌，多才巧智，晚年劳神。,1
井,,4,4,0,火,,勤俭励业，义利分明，中年多劳，晚年幸福之字。,1
仇,,4,4,0,金,,口快心直，刑偶伤子，中年小心灾厄，晚年享福之字。,1
亢,,4,4,0,木,,奔波劳苦或忧心劳神，一生困苦或病弱短寿之字。,1
